question_number,question,question_type,user_answer,correct_answer,is_correct,options
1,What was the primary goal of the Congress of Vienna in 1815?,MCQ,To establish the League of Nations,To reestablish a balance of power in Europe and restore pre-Napoleonic monarchies,False,"['To establish the League of Nations', 'To create a unified German state', 'To reestablish a balance of power in Europe and restore pre-Napoleonic monarchies', 'To end British rule in India']"
2,Which treaty officially ended the First World War?,MCQ,Treaty of Versailles,Treaty of Versailles,True,"['Treaty of Versailles', 'Munich Agreement', 'St. Germain-en-Laye', 'Peace of Westphalia']"
3,What was the treaty that officially ended the Russo-Japanese War in 1905?,MCQ,Anglo-Russian Convention,Treaty of Portsmouth,False,"['Anglo-Russian Convention', 'Treaty of Portsmouth', 'Russo-Turkish War Treaty', 'Italo-Turkish War Treaty']"
4,"What was the primary consequence of the Mongol conquest of Eastern Europe in 1242, under the leadership of Prince Batu Khan?",MCQ,The formation of the Golden Horde,The formation of the Golden Horde,True,"['The formation of the Golden Horde', 'The establishment of the Byzantine Empire', 'The destruction of the Polish kingdom', 'The Christianization of Mongol tribes']"
5,Which 16th-century German Protestant reformer is credited with the development of the concept of the 'priesthood of all believers'?,MCQ,Martin Luther,Martin Luther,True,"['Martin Luther', 'Huldrych Zwingli', 'Philip Melanchthon', 'Ulrich Zwingli']"
6,What was the name of the infamous treaty signed in 1215 that protected the rights of the English nobility?,MCQ,Treaty of Winchester,Magna Carta,False,"['Treaty of Winchester', 'Magna Carta', 'Charter of Liberties', 'Act of Supremacy']"
7,Which 17th-century Dutch revolutionary leader played a key role in the Dutch revolt against Spanish rule?,MCQ,William of Orange,William the Silent,False,"['William of Orange', 'Erasmus', 'William the Silent', 'Rembrandt']"
8,Which ancient city was the capital of the Inca Empire before it was destroyed by the Spanish conquistadors in 1572?,MCQ,Cusco,Cusco,True,"['Cusco', 'Lima', 'Quito', 'Machu Picchu']"
9,"Which ancient Mesopotamian king is credited with building the Hanging Gardens of Babylon, one of the Seven Wonders of the Ancient World?",MCQ,Ashurbanipal,Nebuchadnezzar II,False,"['Ashurbanipal', 'Sargon the Great', 'Nebuchadnezzar II', 'Hammurabi']"
10,"Which 14th-century Mongol khan was known for attempting to invade China, but ultimately retreated back into present-day Mongolia after receiving a large payment from the Yuan Dynasty?",MCQ,Batu Khan,Güyük Khan,False,"['Batu Khan', 'Güyük Khan', 'Ögedei Khan', 'Kublai Khan']"
